timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1782113505496,567,Sampler 1 - HTTP GET Request,200,OK,TG_Phan2 - Samplers Group 1-1,text,true,,483,111,2,2,http://httpbin.org/get,557,0,258
1782113506807,1047,Sampler 1 - HTTP GET Request,200,OK,TG_Phan2 - Samplers Group 1-4,text,true,,483,111,4,4,http://httpbin.org/get,1047,0,232
1782113507854,1647,Sampler 2 - HTTP POST Form,200,OK,TG_Phan2 - Samplers Group 1-4,text,true,,722,246,4,4,http://httpbin.org/post,1647,0,233
1782113509503,849,Sampler 3 - HTTP POST JSON API,200,OK,TG_Phan2 - Samplers Group 1-4,text,true,,744,220,4,4,http://httpbin.org/post,848,0,229
1782113506065,7080,Sampler 2 - HTTP POST Form,200,OK,TG_Phan2 - Samplers Group 1-1,text,true,,722,246,4,4,http://httpbin.org/post,7080,0,232
1782113513146,1578,Sampler 3 - HTTP POST JSON API,200,OK,TG_Phan2 - Samplers Group 1-1,text,true,,744,220,4,4,http://httpbin.org/post,1578,0,229
1782113505818,9006,Sampler 1 - HTTP GET Request,200,OK,TG_Phan2 - Samplers Group 1-2,text,true,,483,111,4,4,http://httpbin.org/get,9006,0,233
1782113506312,9973,Sampler 1 - HTTP GET Request,200,OK,TG_Phan2 - Samplers Group 1-3,text,true,,483,111,4,4,http://httpbin.org/get,9973,0,230
1782113510352,9979,Sampler 1 - HTTP GET Request,200,OK,TG_Phan2 - Samplers Group 1-4,text,true,,483,111,4,4,http://httpbin.org/get,9978,0,233
1782113516287,10704,Sampler 2 - HTTP POST Form,200,OK,TG_Phan2 - Samplers Group 1-3,text,true,,722,246,3,3,http://httpbin.org/post,10704,0,229
1782113514825,13918,Sampler 2 - HTTP POST Form,200,OK,TG_Phan2 - Samplers Group 1-2,text,true,,722,246,2,2,http://httpbin.org/post,13915,0,232
1782113514725,20412,Sampler 1 - HTTP GET Request,200,OK,TG_Phan2 - Samplers Group 1-1,text,true,,483,111,1,1,http://httpbin.org/get,20412,0,229
